,0,
0,чё,PRO
1,с,PR
2,мужиками,S
3,они,PRO
4,типа,PART
5,просто,PART
6,сидят,V
7,и,CONJ
8,у,PR
9,них,PRO
10,в,PR
11,голове,S
12,таракан,S
13,такой,PRO
14,давай,V
15,зайдём,V
16,к,PR
17,левой,A
18,девушке,S
19,и,CONJ
20,скинем,V
21,свой,PRO
22,вонючий,A
23,омерзительный,A
24,ненужный,A
25,отросток,S
26,словила,V
27,не,PART
28,отвращение,S
29,а,CONJ
30,смех,S
31,и,CONJ
32,кринж,S
33,когда,PRO
34,какой-то,PRO
35,щегол,S
36,говорит,V
37,мне,PRO
38,такое,PRO
39,Ресторатор,S
40,сообщил,V
41,что,CONJ
42,открывает,V
43,новых,A
44,проекта,S
45,которые,PRO
46,не,PART
47,связаны,V
48,с,PR
49,бател,S
50,репом,S
51,и,CONJ
52,денег,S
53,у,PR
54,него,PRO
55,осталось,V
56,на,PR
57,месяца,S
58,жизни,S
59,а,CONJ
60,ушёл,V
61,в,PR
62,минус,S
63,с,PR
64,ноября,S
65,года,S
66,какие,PRO
67,проекты,S
68,откроет,V
69,Ресторатор,S
70,мои,PRO
71,варики,S
72,аккаунт,S
73,в,PR
74,Тик,S
75,Токе,S
76,кальянная,S
77,ресейл,S
78,чехлов,S
79,на,PR
80,айфоны,S
81,с,PR
82,Алика,S
83,МИД,S
84,предл,V
85,застрявшим,V
86,в,PR
87,США,S
88,рос,S
89,пожить,V
90,у,PR
91,соотеч-ов,S
92,Сколько,PRO
93,чел,S
94,сможет,V
95,размест,V
96,депутат,S
97,Фетисов,S
98,в,PR
99,своем,PRO
100,доме,S
101,в,PR
102,городке,S
103,штат,S
104,Кто,PRO
105,застрял,V
106,на,PR
107,зап,S
108,побережье,S
109,предл,V
110,дом,S
111,семьи,S
112,Абызовых,S
113,в,PR
114,Малибу,S
115,штата,S
116,Калифорния,S
117,куплен,V
118,за,PR
119,шесть,NUM
120,с,PR
121,половиной,S
122,миллионов,S
123,долларов,S
124,Это,PRO
125,все,PRO
126,наши,PRO
127,налоги,S
128,Минобр,S
129,Китая,S
130,призвал,V
131,усилить,V
132,контроль,S
133,за,PR
134,трехколесными,A
135,транспортными,A
136,средствами,S
137,после,PR
138,гибели,S
139,четырех,NUM
140,несовершеннолетних,A
141,в,PR
142,ДТП,S
143,под,PR
144,Харбином,S
145,Они,PRO
146,угодили,V
147,под,PR
148,фуру,S
149,за,PR
150,рулем,S
151,находится,V
152,их,PRO
153,сверстник,S
154,без,PR
155,водительского,A
156,удостоверения,S
157,Управляющего,S
158,директора,S
159,Сбербанка,S
160,Зака,S
161,арестовали,V
162,по,PR
163,подозрению,S
164,в,PR
165,мошенничестве,S
166,Прям,PART
167,Сбер,S
168,пошли,V
169,ворошить,V
170,Жду,V
171,пока,ADV
172,андроид,S
173,разработчик,S
174,узнает,V
175,у,PR
176,консультанта,S
177,по,PR
178,исламу,S
179,можно,ADV
180,ли,PART
181,ему,PRO
182,работать,V
183,в,PR
184,нашей,PRO
185,компании,S
186,Дело,S
187,в,PR
188,том,PRO
189,что,CONJ
190,мы,PRO
191,дочка,S
192,Сбера,S
193,а,CONJ
194,Сбер,S
195,занимается,V
196,кредитованием,S
197,Согласно,PR
198,исламу,S
199,работать,V
200,в,PR
201,такой,PRO
202,отрасли,S
203,грех,S
